Year,Car Model
1963,Volkswagen Type 2 De Luxe
1968,Abarth 595 esseesse
1945,Jeep Willys MB
1963,Volkswagen Beetle
1940,Ford De Luxe Coupe
1983,GMC Vandura G-1500
1949,Mercury Coupe
1980,Subaru BRAT GL
1975,Fiat X1/9
1956,Ford F-100
1991,Jeep Grand Wagoneer
1981,Volkswagen Scirocco S
1970,Datsun 510
2006,Hummer H1 Alpha
1965,Mini Cooper S
1986,Honda Civic Si
1974,Toyota Celica GT
1973,Mazda RX-3
1984,Volkswagen Rabbit GTI
2013,Vauxhall Astra 1.6 Tech Line Top Gear Edition
1952,Fiat 8V Supersonic
1981,Ford Fiesta XR2
1997,Land Rover Defender 90
2011,Ford Transit SuperSportVan
1975,Ford Bronco
1953,Chevrolet Corvette
1972,Mazda Cosmo 110S Series II
1988,Chevrolet Monte Carlo Super Sport
1978,Ford Mustang II King Cobra
1966,Ford Lotus Cortina
1986,Alfa Romeo Spider Quadrifoglio Verde
1988,Volkswagen Scirocco 16v
1977,Ford Escort RS1800
1965,Alfa Romeo Giulia Sprint GTA Stradale
1969,Toyota 2000GT
1986,Alfa Romeo GTV-6
1966,Ford Country Squire
1971,Lotus Elan Sprint
1985,Mazda RX-7 GSL-SE
1985,Toyota Sprinter Trueno GT Apex
1977,Pontiac Firebird Trans Am
1992,Volkswagen Golf GTi 16v Mk2
1957,Chevrolet Bel Air
1971,Nissan Skyline 2000GT-R
1980,Abarth Fiat 131
1973,Ford Capri RS3100
1954,Jaguar XK120 SE
1973,Renault Alpine A110 1600s
1979,Chevrolet Camaro Z28
1994,Mazda MX-5 Miata
1993,Nissan 240SX SE
2013,Ram Runner
2011,Ford F-150 SVT Raptor
1986,Lamborghini LM 002
1954,Mercedes-Benz 300 SL Coupé
2012,Cadillac Escalade ESV
1994,Honda Prelude Si
1973,BMW 2002 Turbo
1968,Lancia Fulvia Coupé Rallye 1.6 HF
1993,Renault Clio Williams